# name;mass;radius;inclination;k;publication;detection_type;discovered
WASP-109 b;0.91;1.443;84.28;109;Published in a refereed paper;Primary Transit;2014
WASP-110 b;0.515;1.238;88.06;71.8;Published in a refereed paper;Primary Transit;2014
WASP-111 b;1.85;1.442;81.61;212;Published in a refereed paper;Primary Transit;2014
WASP-112 b;0.88;1.191;88.68;142;Published in a refereed paper;Primary Transit;2014
WASP-113 b;0.475;1.409;86.46;48.74;Published in a refereed paper;Primary Transit;2016
WASP-114 b;1.769;1.339;83.96;260.6;Published in a refereed paper;Primary Transit;2016
WASP-118 b;0.514;1.44;88.7;54.6;Published in a refereed paper;Primary Transit;2016
WASP-119 b;1.23;1.4;85;181;Published in a refereed paper;Primary Transit;2016
WASP-12 b;1.47;1.9;83.37;226.4;Published in a refereed paper;Primary Transit;2008
WASP-121 b;1.184;1.865;87.6;181.1;Published in a refereed paper;Primary Transit;2015
WASP-122 b;1.401;1.792;78.35;185.2;Published in a refereed paper;Primary Transit;2015
WASP-123 b;0.92;1.327;85.79;114.5;Published in a refereed paper;Primary Transit;2015
WASP-124 b;0.6;1.24;86.3;77;Published in a refereed paper;Primary Transit;2016
WASP-126 b;0.2841;0.96;87.9;36;Published in a refereed paper;Primary Transit;2016
WASP-129 b;1;0.93;87.7;110;Published in a refereed paper;Primary Transit;2016
WASP-130 b;1.23;0.89;88.66;108;Published in a refereed paper;Primary Transit;2016
WASP-131 b;0.27;1.22;85;30.5;Published in a refereed paper;Primary Transit;2016
WASP-132 b;0.41;0.8966;89.51;51;Published in a refereed paper;Primary Transit;2016
WASP-133 b;1.16;1.21;87;170;Published in a refereed paper;Primary Transit;2016
WASP-134 b;1.412;0.988;89.13;122;Published in a refereed paper;Primary Transit;2018
WASP-135 b;1.9;1.3;82;346;Published in a refereed paper;Primary Transit;2015
WASP-137 b;0.681;1.27;84.59;76.7;Published in a refereed paper;Primary Transit;2018
WASP-139 b;0.117;0.8;88.9;14;Published in a refereed paper;Primary Transit;2016
WASP-140 b;2.44;1.44;83.3;403;Published in a refereed paper;Primary Transit;2016
WASP-141 b;2.69;1.21;87.6;315;Published in a refereed paper;Primary Transit;2016
WASP-142 b;0.84;1.53;80.2;109;Published in a refereed paper;Primary Transit;2016
WASP-144 b;0.44;0.85;86.9;78;Published in a refereed paper;Primary Transit;2018
WASP-145 A b;0.89;0.9;83.3;178;Published in a refereed paper;Primary Transit;2018
WASP-146 b;1.11;1.228;83.96;144;Published in a refereed paper;Primary Transit;2018
WASP-147 b;0.275;1.115;87.9;32.7;Published in a refereed paper;Primary Transit;2018
WASP-148 b;0.287;0.756;89.3;30.1;Published in a refereed paper;Primary Transit;2020
WASP-151 b;0.31;1.13;89.2;37;Published in a refereed paper;Primary Transit;2017
WASP-153 b;0.39;1.55;84.1;44;Published in a refereed paper;Primary Transit;2017
WASP-156 b;0.1303;0.554;88.9;19;Published in a refereed paper;Primary Transit;2017
WASP-157 b;0.576;0.998;85.19;60;Published in a refereed paper;Primary Transit;2016
WASP-158 b;2.79;1.07;87.7;295;Published in a refereed paper;Primary Transit;2018
WASP-159 b;0.55;1.38;88.1;57;Published in a refereed paper;Primary Transit;2018
WASP-160 B b;0.281;1.093;89.02;39.9;Published in a refereed paper;Primary Transit;2018
WASP-163 b;1.87;1.202;85.42;329;Published in a refereed paper;Primary Transit;2018
WASP-164 b;2.13;1.128;82.73;367;Published in a refereed paper;Primary Transit;2018
WASP-165 b;0.658;1.26;84.9;76;Published in a refereed paper;Primary Transit;2018
WASP-168 b;0.42;1.5;84.4;50;Published in a refereed paper;Primary Transit;2018
WASP-169 b;0.561;1.304;87.9;52.9;Published in a refereed paper;Primary Transit;2019
WASP-170 b;1.6;1.096;84.87;255;Published in a refereed paper;Primary Transit;2018
WASP-171 b;1.084;0.988;88.3;126;Published in a refereed paper;Primary Transit;2019
WASP-172 b;0.47;1.57;86.7;42;Published in a refereed paper;Primary Transit;2018
WASP-174 b;0.33;1.437;83.78;36.1;Published in a refereed paper;Primary Transit;2018
WASP-175 b;0.99;1.208;85.33;124;Published in a refereed paper;Primary Transit;2019
WASP-177 b;0.508;1.58;84.14;77.3;Published in a refereed paper;Primary Transit;2019
WASP-178 b;1.41;1.94;85.7;123;Published in a refereed paper;Primary Transit;2019
WASP-180 A b;0.8;1.29;87.4;100;Published in a refereed paper;Primary Transit;2019
WASP-181 b;0.299;1.184;88.38;35.7;Published in a refereed paper;Primary Transit;2019
WASP-182 b;0.148;0.85;83.88;19;Published in a refereed paper;Primary Transit;2019
WASP-183 b;0.502;1.47;85.37;74.8;Published in a refereed paper;Primary Transit;2019
WASP-184 b;0.57;1.33;86.9;58;Published in a refereed paper;Primary Transit;2019
WASP-185 b;0.98;1.25;86.8;88;Published in a refereed paper;Primary Transit;2019
WASP-189 b;1.99;1.619;84.03;182;Published in a refereed paper;Primary Transit;2018
WASP-190 b;1;1.15;87.1;99;Published in a refereed paper;Primary Transit;2018
WASP-192 b;2.3;1.23;82.7;307;Published in a refereed paper;Primary Transit;2019
WASP-41 b;0.94;1.18;89.4;138;Announced on a professional conference;Primary Transit;2010
WASP-47 b;1.14243;1.127;88.98;140.64;Published in a refereed paper;Primary Transit;2012
WASP-47 d;0.04122;0.319;89.32;3.93;Published in a refereed paper;Primary Transit;2015
WASP-47 e;0.02149;0.161;85.98;4.61;Published in a refereed paper;Primary Transit;2015
WASP-53 b;2.132;1.074;87.08;326.1;Published in a refereed paper;Primary Transit;2011
WASP-55 b;0.61;1.33;89.6;70;Published in a refereed paper;Primary Transit;2012
WASP-59 b;0.863;0.775;89.27;0.1096;Announced on a professional conference;Primary Transit;2011
WASP-74 b;0.826;1.248;80.32;114.1;Published in a refereed paper;Primary Transit;2014
WASP-75 b;1.07;1.27;82;146;Published in a refereed paper;Primary Transit;2013
WASP-81 b;0.729;1.429;88.69;100.8;Published in a refereed paper;Primary Transit;2016
WASP-83 b;0.3;1.04;88.9;32.9;Published in a refereed paper;Primary Transit;2014
WASP-87 A b;2.21;1.385;81.07;325;Published in a refereed paper;Primary Transit;2014
WASP-91 b;1.34;1.03;86.8;217;Published in a refereed paper;Primary Transit;2017
WASP-92 b;0.805;1.461;83.75;111.6;Published in a refereed paper;Primary Transit;2016
WASP-94 A b;0.452;1.72;88.7;45.4;Published in a refereed paper;Primary Transit;2014
Wendelstein-1 b;0.59;1;86.12;115.56;Published in a refereed paper;Primary Transit;2020
Wendelstein-2 b;0.73;1;87.87;155.584;Published in a refereed paper;Primary Transit;2020
XO-4 b;1.616;1.317;88.47;172;Published in a refereed paper;Primary Transit;2008
XO-6 b;1.9;2.07;86;200;Published in a refereed paper;Primary Transit;2016
XO-7 b;0.709;1.373;83.45;80.5;Published in a refereed paper;Primary Transit;2019
pi Men c;0.01142;0.16719;87.553;1.21;Published in a refereed paper;Primary Transit;2018
